id,venta_id,monto_usd,tasa_bcv_dia,monto_bs,metodo_pago,fecha
0322c1ca-6b44-410a-8e63-a59e58b9b0bf,4fcc6024-ebd2-49cb-9002-4077266da0c7,25.00,746.6300,18665.00,Pago Móvil,2026-08-02 22:58:00+00
10f11fbe-f5b9-435b-96da-9109ac0f2066,eb33dcb1-4d5f-4a1a-b156-90df1aa517fa,14.73,746.6300,11000.00,Pago Móvil,2026-08-02 23:34:00+00
1564aebb-ca1f-465f-8325-43ffb9b2d01c,baf30b99-ce11-40ee-9e50-0c334103e15c,0.19,746.6300,141.86,Pago Móvil,2026-08-03 01:21:00+00
1fbb15df-b07c-49a9-ab48-2a8e4033c7dd,9f75d14d-c564-4752-aed2-a36b7c335bd1,7.98,746.6300,5960.00,Pago Móvil,2026-08-02 23:39:00+00
22c38482-0aaa-47e8-a6dd-d1b1ee1f56f2,cc853eb3-0a51-4a9e-8abe-8577e9071d19,0.04,746.6300,29.87,Pago Móvil,2026-08-03 01:22:00+00
42ab5e56-6425-46b2-95bf-18368ee9e400,baf30b99-ce11-40ee-9e50-0c334103e15c,8.97,746.6300,6700.00,Pago Móvil,2026-08-02 22:44:00+00
4878d007-04ea-413e-94e7-68132dda957d,eb33dcb1-4d5f-4a1a-b156-90df1aa517fa,0.27,746.6300,201.59,Pago Móvil,2026-08-03 01:23:00+00
5018e520-060d-4295-bf1c-c8c23dcbe9ff,b3b5c67a-6efe-4e44-99c7-a4497dda92b8,0.15,746.6300,111.99,Pago Móvil,2026-08-03 01:21:00+00
5cef45bc-7624-4f75-a989-84fa81d4cd73,baf30b99-ce11-40ee-9e50-0c334103e15c,8.84,746.6300,6600.00,Pago Móvil,2026-08-02 22:41:00+00
6344b99b-f37c-4d8b-a433-5a7b3cdd2ef1,8ff7922d-f295-48be-a30f-046c5a65fd22,19.98,746.6300,14920.00,Pago Móvil,2026-08-02 23:41:00+00
7b047d01-67a6-49c5-a545-f84be51edd4f,8ff7922d-f295-48be-a30f-046c5a65fd22,0.02,746.6300,14.93,Pago Móvil,2026-08-03 01:19:00+00
8f042400-c797-4a2b-a540-1a2ee7cc2716,0e7c7e31-d6ad-450a-a679-9ffbd1f14cca,18.33,746.6300,13687.00,Pago Móvil,2026-08-02 23:38:00+00
9a6948e6-0d44-4b34-a960-a82f4e06149e,55953b87-5014-41c4-9e45-75e26997c2d0,7.00,746.6300,5226.41,Efectivo USD,2026-08-02 22:45:00+00
9bc11d45-068e-4710-9375-0cf1fd87e709,fd8f6612-9b59-4961-9a73-fa147f4ad7f5,9.97,746.6300,7446.00,Pago Móvil,2026-08-02 23:23:00+00
9eba6651-c26e-4131-b0c9-d17e9b019aa9,a2ba8b1a-114d-40b6-a2f2-7c6336cadff4,0.05,746.6300,37.33,Pago Móvil,2026-08-03 01:23:00+00
ade0a9a7-7191-4aab-9099-530e91c37abc,b3b5c67a-6efe-4e44-99c7-a4497dda92b8,7.85,746.6300,5858.00,Pago Móvil,2026-08-02 22:36:00+00
ba9f006a-3fe5-45e6-b3c2-701ebb1ca3c4,cc853eb3-0a51-4a9e-8abe-8577e9071d19,7.96,746.6300,5945.00,Pago Móvil,2026-08-02 22:52:00+00
cbca8fc0-810e-4edc-937c-183211628cec,eb33dcb1-4d5f-4a1a-b156-90df1aa517fa,15.00,746.6300,11200.00,Pago Móvil,2026-08-02 23:26:00+00
eaf8d384-99e8-4df7-b86f-5109f42bf3ce,a2ba8b1a-114d-40b6-a2f2-7c6336cadff4,14.95,746.6300,11160.00,Pago Móvil,2026-08-02 22:59:00+00
eeed3b77-71c9-415f-b141-a7fa5ec5b25e,4fcc6024-ebd2-49cb-9002-4077266da0c7,24.71,746.6300,18447.00,Pago Móvil,2026-08-02 22:57:00+00
f6193cbb-386f-415e-b5a9-ff1f377b97dc,4fcc6024-ebd2-49cb-9002-4077266da0c7,0.29,746.6300,216.52,Pago Móvil,2026-08-03 01:23:00+00
