id,cliente_id,monto_total_usd,saldo_pendiente_usd,estado_pago,creado_en
0e7c7e31-d6ad-450a-a679-9ffbd1f14cca,149c564f-17db-45cc-86e4-11433dbcae04,21.00,2.67,parcial,2026-07-18 00:00:00+00
4fcc6024-ebd2-49cb-9002-4077266da0c7,801d4f24-1e7a-464f-b7d7-fbea4d08ae77,50.00,0.00,completado,2026-07-18 00:00:00+00
55953b87-5014-41c4-9e45-75e26997c2d0,1aac15af-a3bc-4197-8ab7-29a011e21bae,7.00,0.00,completado,2026-07-18 00:00:00+00
6d054ecc-c8ce-4626-bb0a-88d99a153cac,7fa65a0d-e4e2-42cf-ba9b-dbb5cd37dd8f,24.00,24.00,pendiente,2026-07-18 00:00:00+00
829a8409-a9ea-4340-88e8-e2f25f45422f,f034b720-0a97-4b75-9a9c-aa312638d00d,25.00,25.00,pendiente,2026-07-18 00:00:00+00
89fac80a-d10c-4531-883c-9e8ce2d92a59,9d484080-bf32-46d7-bb76-fb764b06422e,45.00,45.00,pendiente,2026-07-18 00:00:00+00
8ff7922d-f295-48be-a30f-046c5a65fd22,484d4429-d265-4d43-b021-f14bf7637085,20.00,0.00,completado,2026-07-18 00:00:00+00
9990e2d0-c0dc-4914-9bfa-092199b961ba,7809832f-aeed-4fdf-915a-d124ab746173,38.00,38.00,pendiente,2026-07-18 00:00:00+00
99d5e1f9-81b7-439d-af24-ceae4a410d61,364a3297-2bc8-4f51-a4d4-9e483fa81c8c,15.00,15.00,pendiente,2026-07-18 00:00:00+00
9f75d14d-c564-4752-aed2-a36b7c335bd1,7eb94674-f5eb-4e04-a909-fbccf36ee22e,16.00,8.02,parcial,2026-07-18 00:00:00+00
a2ba8b1a-114d-40b6-a2f2-7c6336cadff4,25adab9a-c664-4ed5-80e5-d295a5de3ce2,15.00,0.00,completado,2026-07-18 00:00:00+00
a2f8a1d9-e820-4f4c-9f7e-1276afd1954d,ea812633-547c-4218-adc6-a8bee5981edb,15.00,15.00,pendiente,2026-07-18 00:00:00+00
b3b5c67a-6efe-4e44-99c7-a4497dda92b8,456c94f5-878b-49b5-9079-bc00fd1ab7d4,8.00,0.00,completado,2026-07-18 00:00:00+00
baf30b99-ce11-40ee-9e50-0c334103e15c,d30749b0-91c8-47e6-aebe-355770358d9a,18.00,0.00,completado,2026-07-18 00:00:00+00
bff35ae9-b1b5-45e1-814d-bc1b92a4a53d,b164aff7-d676-4a66-93e4-12f6e609fba2,7.00,7.00,pendiente,2026-07-18 00:00:00+00
cc853eb3-0a51-4a9e-8abe-8577e9071d19,99d40d04-ca6e-42c4-a5ed-e59c5f730830,8.00,0.00,completado,2026-07-18 00:00:00+00
d1fa4cd8-8f6f-4a53-bd75-a9d8e8315855,b75c969b-658b-4cd3-8274-859f9a4cbf99,67.00,67.00,pendiente,2026-07-18 00:00:00+00
eb33dcb1-4d5f-4a1a-b156-90df1aa517fa,54b1967b-1726-40c6-aba2-06a97948cdf7,30.00,0.00,completado,2026-07-18 00:00:00+00
fb8f3e84-4fa9-4fd3-9e13-00bdbbd175b9,edb520cc-34b8-40ee-87c7-568e55d835ef,12.00,12.00,pendiente,2026-07-18 00:00:00+00
fd8f6612-9b59-4961-9a73-fa147f4ad7f5,b500cec6-89d9-4b85-ac89-6fe8245ffa8a,15.00,5.03,parcial,2026-07-18 00:00:00+00
